task_elapsed_sec,head_pitch_rad,head_yaw_rad
0.000000,0.000000000,0.000000000
0.200000,0.016180092,0.016180092
0.400000,0.030776364,0.030776364
0.600000,0.042360031,0.042360031
0.800000,0.049797203,0.049797203
1.000000,0.052359878,0.052359878
1.200000,0.049797203,0.049797203
1.400000,0.042360031,0.042360031
1.600000,0.030776364,0.030776364
1.800000,0.016180092,0.016180092
2.000000,0.000000000,0.000000000
2.200000,-0.016180092,-0.016180092
2.400000,-0.030776364,-0.030776364
2.600000,-0.042360031,-0.042360031
2.800000,-0.049797203,-0.049797203
3.000000,-0.052359878,-0.052359878
3.200000,-0.049797203,-0.049797203
3.400000,-0.042360031,-0.042360031
3.600000,-0.030776364,-0.030776364
3.800000,-0.016180092,-0.016180092
4.000000,-0.000000000,-0.000000000
4.200000,0.016180092,0.016180092
4.400000,0.030776364,0.030776364
4.600000,0.042360031,0.042360031
4.800000,0.049797203,0.049797203
5.000000,0.052359878,0.052359878
5.200000,0.049797203,0.049797203
5.400000,0.042360031,0.042360031
5.600000,0.030776364,0.030776364
5.800000,0.016180092,0.016180092
6.000000,0.000000000,0.000000000
6.200000,-0.016180092,-0.016180092
6.400000,-0.030776364,-0.030776364
6.600000,-0.042360031,-0.042360031
6.800000,-0.049797203,-0.049797203
7.000000,-0.052359878,-0.052359878
7.200000,-0.049797203,-0.049797203
7.400000,-0.042360031,-0.042360031
7.600000,-0.030776364,-0.030776364
7.800000,-0.016180092,-0.016180092
8.000000,-0.000000000,-0.000000000
8.200000,0.016180092,0.016180092
8.400000,0.030776364,0.030776364
8.600000,0.042360031,0.042360031
8.800000,0.049797203,0.049797203
9.000000,0.052359878,0.052359878
9.200000,0.049797203,0.049797203
9.400000,0.042360031,0.042360031
9.600000,0.030776364,0.030776364
9.800000,0.016180092,0.016180092
10.000000,0.000000000,0.000000000
10.200000,-0.016180092,-0.016180092
10.400000,-0.030776364,-0.030776364
10.600000,-0.042360031,-0.042360031
10.800000,-0.049797203,-0.049797203
11.000000,-0.052359878,-0.052359878
11.200000,-0.049797203,-0.049797203
11.400000,-0.042360031,-0.042360031
11.600000,-0.030776364,-0.030776364
11.800000,-0.016180092,-0.016180092
12.000000,-0.000000000,-0.000000000
12.200000,0.016180092,0.016180092
12.400000,0.030776364,0.030776364
12.600000,0.042360031,0.042360031
12.800000,0.049797203,0.049797203
13.000000,0.052359878,0.052359878
13.200000,0.049797203,0.049797203
13.400000,0.042360031,0.042360031
13.600000,0.030776364,0.030776364
13.800000,0.016180092,0.016180092
14.000000,0.000000000,0.000000000
14.200000,-0.016180092,-0.016180092
14.400000,-0.030776364,-0.030776364
14.600000,-0.042360031,-0.042360031
14.800000,-0.049797203,-0.049797203
15.000000,-0.052359878,-0.052359878
15.200000,-0.049797203,-0.049797203
15.400000,-0.042360031,-0.042360031
15.600000,-0.030776364,-0.030776364
15.800000,-0.016180092,-0.016180092
16.000000,-0.000000000,-0.000000000
16.200000,0.016180092,0.016180092
16.400000,0.030776364,0.030776364
16.600000,0.042360031,0.042360031
16.800000,0.049797203,0.049797203
17.000000,0.052359878,0.052359878
17.200000,0.049797203,0.049797203
17.400000,0.042360031,0.042360031
17.600000,0.030776364,0.030776364
17.800000,0.016180092,0.016180092
18.000000,0.000000000,0.000000000
18.200000,-0.016180092,-0.016180092
18.400000,-0.030776364,-0.030776364
18.600000,-0.042360031,-0.042360031
18.800000,-0.049797203,-0.049797203
19.000000,-0.052359878,-0.052359878
19.200000,-0.049797203,-0.049797203
19.400000,-0.042360031,-0.042360031
19.600000,-0.030776364,-0.030776364
19.800000,-0.016180092,-0.016180092
