task_elapsed_sec,joint_1_rad,joint_2_rad,joint_3_rad,joint_4_rad,joint_5_rad,joint_6_rad,joint_7_rad
0.000000,-0.174532925,1.343903524,1.396263402,0.349065850,0.436332313,-0.174532925,0.174532925
0.200000,-0.158352833,1.360083616,1.412443494,0.365245942,0.452512405,-0.158352833,0.190713017
0.400000,-0.143756561,1.374679888,1.427039765,0.379842214,0.467108677,-0.143756561,0.205309289
0.600000,-0.132172894,1.386263555,1.438623432,0.391425881,0.478692344,-0.132172894,0.216892956
0.800000,-0.124735722,1.393700727,1.446060604,0.398863053,0.486129516,-0.124735722,0.224330128
1.000000,-0.122173048,1.396263402,1.448623279,0.401425728,0.488692191,-0.122173048,0.226892803
1.200000,-0.124735722,1.393700727,1.446060604,0.398863053,0.486129516,-0.124735722,0.224330128
1.400000,-0.132172894,1.386263555,1.438623432,0.391425881,0.478692344,-0.132172894,0.216892956
1.600000,-0.143756561,1.374679888,1.427039765,0.379842214,0.467108677,-0.143756561,0.205309289
1.800000,-0.158352833,1.360083616,1.412443494,0.365245942,0.452512405,-0.158352833,0.190713017
2.000000,-0.174532925,1.343903524,1.396263402,0.349065850,0.436332313,-0.174532925,0.174532925
2.200000,-0.190713017,1.327723432,1.380083310,0.332885758,0.420152221,-0.190713017,0.158352833
2.400000,-0.205309289,1.313127160,1.365487038,0.318289487,0.405555949,-0.205309289,0.143756561
2.600000,-0.216892956,1.301543493,1.353903371,0.306705820,0.393972282,-0.216892956,0.132172894
2.800000,-0.224330128,1.294106321,1.346466199,0.299268648,0.386535110,-0.224330128,0.124735722
3.000000,-0.226892803,1.291543646,1.343903524,0.296705973,0.383972435,-0.226892803,0.122173048
3.200000,-0.224330128,1.294106321,1.346466199,0.299268648,0.386535110,-0.224330128,0.124735722
3.400000,-0.216892956,1.301543493,1.353903371,0.306705820,0.393972282,-0.216892956,0.132172894
3.600000,-0.205309289,1.313127160,1.365487038,0.318289487,0.405555949,-0.205309289,0.143756561
3.800000,-0.190713017,1.327723432,1.380083310,0.332885758,0.420152221,-0.190713017,0.158352833
4.000000,-0.174532925,1.343903524,1.396263402,0.349065850,0.436332313,-0.174532925,0.174532925
4.200000,-0.158352833,1.360083616,1.412443494,0.365245942,0.452512405,-0.158352833,0.190713017
4.400000,-0.143756561,1.374679888,1.427039765,0.379842214,0.467108677,-0.143756561,0.205309289
4.600000,-0.132172894,1.386263555,1.438623432,0.391425881,0.478692344,-0.132172894,0.216892956
4.800000,-0.124735722,1.393700727,1.446060604,0.398863053,0.486129516,-0.124735722,0.224330128
5.000000,-0.122173048,1.396263402,1.448623279,0.401425728,0.488692191,-0.122173048,0.226892803
5.200000,-0.124735722,1.393700727,1.446060604,0.398863053,0.486129516,-0.124735722,0.224330128
5.400000,-0.132172894,1.386263555,1.438623432,0.391425881,0.478692344,-0.132172894,0.216892956
5.600000,-0.143756561,1.374679888,1.427039765,0.379842214,0.467108677,-0.143756561,0.205309289
5.800000,-0.158352833,1.360083616,1.412443494,0.365245942,0.452512405,-0.158352833,0.190713017
6.000000,-0.174532925,1.343903524,1.396263402,0.349065850,0.436332313,-0.174532925,0.174532925
6.200000,-0.190713017,1.327723432,1.380083310,0.332885758,0.420152221,-0.190713017,0.158352833
6.400000,-0.205309289,1.313127160,1.365487038,0.318289487,0.405555949,-0.205309289,0.143756561
6.600000,-0.216892956,1.301543493,1.353903371,0.306705820,0.393972282,-0.216892956,0.132172894
6.800000,-0.224330128,1.294106321,1.346466199,0.299268648,0.386535110,-0.224330128,0.124735722
7.000000,-0.226892803,1.291543646,1.343903524,0.296705973,0.383972435,-0.226892803,0.122173048
7.200000,-0.224330128,1.294106321,1.346466199,0.299268648,0.386535110,-0.224330128,0.124735722
7.400000,-0.216892956,1.301543493,1.353903371,0.306705820,0.393972282,-0.216892956,0.132172894
7.600000,-0.205309289,1.313127160,1.365487038,0.318289487,0.405555949,-0.205309289,0.143756561
7.800000,-0.190713017,1.327723432,1.380083310,0.332885758,0.420152221,-0.190713017,0.158352833
8.000000,-0.174532925,1.343903524,1.396263402,0.349065850,0.436332313,-0.174532925,0.174532925
8.200000,-0.158352833,1.360083616,1.412443494,0.365245942,0.452512405,-0.158352833,0.190713017
8.400000,-0.143756561,1.374679888,1.427039765,0.379842214,0.467108677,-0.143756561,0.205309289
8.600000,-0.132172894,1.386263555,1.438623432,0.391425881,0.478692344,-0.132172894,0.216892956
8.800000,-0.124735722,1.393700727,1.446060604,0.398863053,0.486129516,-0.124735722,0.224330128
9.000000,-0.122173048,1.396263402,1.448623279,0.401425728,0.488692191,-0.122173048,0.226892803
9.200000,-0.124735722,1.393700727,1.446060604,0.398863053,0.486129516,-0.124735722,0.224330128
9.400000,-0.132172894,1.386263555,1.438623432,0.391425881,0.478692344,-0.132172894,0.216892956
9.600000,-0.143756561,1.374679888,1.427039765,0.379842214,0.467108677,-0.143756561,0.205309289
9.800000,-0.158352833,1.360083616,1.412443494,0.365245942,0.452512405,-0.158352833,0.190713017
10.000000,-0.174532925,1.343903524,1.396263402,0.349065850,0.436332313,-0.174532925,0.174532925
10.200000,-0.190713017,1.327723432,1.380083310,0.332885758,0.420152221,-0.190713017,0.158352833
10.400000,-0.205309289,1.313127160,1.365487038,0.318289487,0.405555949,-0.205309289,0.143756561
10.600000,-0.216892956,1.301543493,1.353903371,0.306705820,0.393972282,-0.216892956,0.132172894
10.800000,-0.224330128,1.294106321,1.346466199,0.299268648,0.386535110,-0.224330128,0.124735722
11.000000,-0.226892803,1.291543646,1.343903524,0.296705973,0.383972435,-0.226892803,0.122173048
11.200000,-0.224330128,1.294106321,1.346466199,0.299268648,0.386535110,-0.224330128,0.124735722
11.400000,-0.216892956,1.301543493,1.353903371,0.306705820,0.393972282,-0.216892956,0.132172894
11.600000,-0.205309289,1.313127160,1.365487038,0.318289487,0.405555949,-0.205309289,0.143756561
11.800000,-0.190713017,1.327723432,1.380083310,0.332885758,0.420152221,-0.190713017,0.158352833
12.000000,-0.174532925,1.343903524,1.396263402,0.349065850,0.436332313,-0.174532925,0.174532925
12.200000,-0.158352833,1.360083616,1.412443494,0.365245942,0.452512405,-0.158352833,0.190713017
12.400000,-0.143756561,1.374679888,1.427039765,0.379842214,0.467108677,-0.143756561,0.205309289
12.600000,-0.132172894,1.386263555,1.438623432,0.391425881,0.478692344,-0.132172894,0.216892956
12.800000,-0.124735722,1.393700727,1.446060604,0.398863053,0.486129516,-0.124735722,0.224330128
13.000000,-0.122173048,1.396263402,1.448623279,0.401425728,0.488692191,-0.122173048,0.226892803
13.200000,-0.124735722,1.393700727,1.446060604,0.398863053,0.486129516,-0.124735722,0.224330128
13.400000,-0.132172894,1.386263555,1.438623432,0.391425881,0.478692344,-0.132172894,0.216892956
13.600000,-0.143756561,1.374679888,1.427039765,0.379842214,0.467108677,-0.143756561,0.205309289
13.800000,-0.158352833,1.360083616,1.412443494,0.365245942,0.452512405,-0.158352833,0.190713017
14.000000,-0.174532925,1.343903524,1.396263402,0.349065850,0.436332313,-0.174532925,0.174532925
14.200000,-0.190713017,1.327723432,1.380083310,0.332885758,0.420152221,-0.190713017,0.158352833
14.400000,-0.205309289,1.313127160,1.365487038,0.318289487,0.405555949,-0.205309289,0.143756561
14.600000,-0.216892956,1.301543493,1.353903371,0.306705820,0.393972282,-0.216892956,0.132172894
14.800000,-0.224330128,1.294106321,1.346466199,0.299268648,0.386535110,-0.224330128,0.124735722
15.000000,-0.226892803,1.291543646,1.343903524,0.296705973,0.383972435,-0.226892803,0.122173048
15.200000,-0.224330128,1.294106321,1.346466199,0.299268648,0.386535110,-0.224330128,0.124735722
15.400000,-0.216892956,1.301543493,1.353903371,0.306705820,0.393972282,-0.216892956,0.132172894
15.600000,-0.205309289,1.313127160,1.365487038,0.318289487,0.405555949,-0.205309289,0.143756561
15.800000,-0.190713017,1.327723432,1.380083310,0.332885758,0.420152221,-0.190713017,0.158352833
16.000000,-0.174532925,1.343903524,1.396263402,0.349065850,0.436332313,-0.174532925,0.174532925
16.200000,-0.158352833,1.360083616,1.412443494,0.365245942,0.452512405,-0.158352833,0.190713017
16.400000,-0.143756561,1.374679888,1.427039765,0.379842214,0.467108677,-0.143756561,0.205309289
16.600000,-0.132172894,1.386263555,1.438623432,0.391425881,0.478692344,-0.132172894,0.216892956
16.800000,-0.124735722,1.393700727,1.446060604,0.398863053,0.486129516,-0.124735722,0.224330128
17.000000,-0.122173048,1.396263402,1.448623279,0.401425728,0.488692191,-0.122173048,0.226892803
