task_elapsed_sec,waist_pitch_rad,waist_lift_mm
0.000000,0.000000000,-0.000000
0.200000,0.016180092,-2.447174
0.400000,0.030776364,-9.549150
0.600000,0.042360031,-20.610737
0.800000,0.049797203,-34.549150
1.000000,0.052359878,-50.000000
1.200000,0.049797203,-65.450850
1.400000,0.042360031,-79.389263
1.600000,0.030776364,-90.450850
1.800000,0.016180092,-97.552826
2.000000,0.000000000,-100.000000
2.200000,-0.016180092,-97.552826
2.400000,-0.030776364,-90.450850
2.600000,-0.042360031,-79.389263
2.800000,-0.049797203,-65.450850
3.000000,-0.052359878,-50.000000
3.200000,-0.049797203,-34.549150
3.400000,-0.042360031,-20.610737
3.600000,-0.030776364,-9.549150
3.800000,-0.016180092,-2.447174
4.000000,-0.000000000,-0.000000
4.200000,0.016180092,-2.447174
4.400000,0.030776364,-9.549150
4.600000,0.042360031,-20.610737
4.800000,0.049797203,-34.549150
5.000000,0.052359878,-50.000000
5.200000,0.049797203,-65.450850
5.400000,0.042360031,-79.389263
5.600000,0.030776364,-90.450850
5.800000,0.016180092,-97.552826
6.000000,0.000000000,-100.000000
6.200000,-0.016180092,-97.552826
6.400000,-0.030776364,-90.450850
6.600000,-0.042360031,-79.389263
6.800000,-0.049797203,-65.450850
7.000000,-0.052359878,-50.000000
7.200000,-0.049797203,-34.549150
7.400000,-0.042360031,-20.610737
7.600000,-0.030776364,-9.549150
7.800000,-0.016180092,-2.447174
8.000000,-0.000000000,-0.000000
8.200000,0.016180092,-2.447174
8.400000,0.030776364,-9.549150
8.600000,0.042360031,-20.610737
8.800000,0.049797203,-34.549150
9.000000,0.052359878,-50.000000
9.200000,0.049797203,-65.450850
9.400000,0.042360031,-79.389263
9.600000,0.030776364,-90.450850
9.800000,0.016180092,-97.552826
10.000000,0.000000000,-100.000000
10.200000,-0.016180092,-97.552826
10.400000,-0.030776364,-90.450850
10.600000,-0.042360031,-79.389263
10.800000,-0.049797203,-65.450850
11.000000,-0.052359878,-50.000000
11.200000,-0.049797203,-34.549150
11.400000,-0.042360031,-20.610737
11.600000,-0.030776364,-9.549150
11.800000,-0.016180092,-2.447174
12.000000,-0.000000000,-0.000000
12.200000,0.016180092,-2.447174
12.400000,0.030776364,-9.549150
12.600000,0.042360031,-20.610737
12.800000,0.049797203,-34.549150
13.000000,0.052359878,-50.000000
13.200000,0.049797203,-65.450850
13.400000,0.042360031,-79.389263
13.600000,0.030776364,-90.450850
13.800000,0.016180092,-97.552826
14.000000,0.000000000,-100.000000
14.200000,-0.016180092,-97.552826
14.400000,-0.030776364,-90.450850
14.600000,-0.042360031,-79.389263
14.800000,-0.049797203,-65.450850
15.000000,-0.052359878,-50.000000
15.200000,-0.049797203,-34.549150
15.400000,-0.042360031,-20.610737
15.600000,-0.030776364,-9.549150
15.800000,-0.016180092,-2.447174
16.000000,-0.000000000,-0.000000
16.200000,0.016180092,-2.447174
16.400000,0.030776364,-9.549150
16.600000,0.042360031,-20.610737
16.800000,0.049797203,-34.549150
17.000000,0.052359878,-50.000000
17.200000,0.049797203,-65.450850
17.400000,0.042360031,-79.389263
17.600000,0.030776364,-90.450850
17.800000,0.016180092,-97.552826
18.000000,0.000000000,-100.000000
18.200000,-0.016180092,-97.552826
18.400000,-0.030776364,-90.450850
18.600000,-0.042360031,-79.389263
18.800000,-0.049797203,-65.450850
19.000000,-0.052359878,-50.000000
19.200000,-0.049797203,-34.549150
19.400000,-0.042360031,-20.610737
19.600000,-0.030776364,-9.549150
19.800000,-0.016180092,-2.447174
